No,Item,Brand,Quantity,Latest Cost,Average Cost,Sale Price
1304,HK 1512 OH,HI-TEC,,51,51,
1305,HK 1516 OH,HI-TEC,,51,51,
1306,HK 2020 OH,HI-TEC,,64,64,
1307,HK 2520,HI-TEC,,67,67,
1308,HK 2520 OH,HI-TEC,,85,85,
1309,HK 3520,CHINA,,150,150,
1310,HK 4520,HI-TEC,,131,131,
1311,HK 4520,HI-TEC L,,180,180,
1312,HKS 323934,HI-TEC,,170,170,
1313,HM 212047/10,HI-TEC,,1537,1537,
1314,HM 220149/10,HI-TEC,,2031.27,2031.27,
1315,JC 8002,HI-TEC,800,291,291,
1316,JC 8003,HI-TEC,667,416,416,
1317,KH 1026 PP,CHINA,,500,,
1318,KK 728245,HI-TEC,47,497,497,
1319,KM 03,HI-TEC,2,10,10,
1320,KM 05,HI-TEC,98,70.86,70.86,
1321,KM 06,HI-TEC,156,65.45,65.46,
1322,KM 07,HI-TEC,28,76.84,76.86,
1323,KM 08,HI-TEC,139,81.83,81.83,
1324,KM 09,HI-TEC,145,103.23,103.23,
1325,KM 10,HI-TEC,136,110.35,110.35,
1326,KM 11,HI-TEC,100,116.31,116.31,
1327,KM 14,CHINA,-1,,,
1328,KM 17,CHINA,,950,,
1329,KM 19,HI-TEC,4,440,440,
1330,KM 24,CHINA,,2850,,
1331,LM 08 UU,HI-TEC,44,83,83,
1332,LM 10 UU,HI-TEC,50,90,90,
1333,LM 12 UU,HI-TEC,50,90,90,
1334,LM 16 UU,HI-TEC,92,131,131,
1335,LM 20 UU,HI-TEC,78,136,136,
1336,LM 25 UU,HI-TEC,,254,254,
1337,LM 29749,CHINA,,550,550,
1338,LM 30,JAPAN,,5000,5000,
1339,LM 30 UU,HI-TEC,,297,297,
1340,LM 40 UU,HI-TEC,10,699,699,
1341,LME 08 UU,HI-TEC,50,93,93,
1342,LME 10 UU,HI-TEC,50,97,97,
1343,LME 12 UU,HI-TEC,34,102,102,
1344,LME 16 UU,HI-TEC,96,136,136,
1345,LME 20 UU,HI-TEC,58,140,140,
1346,LME 25 UU,HI-TEC,10,254,254,
1347,LME 30 UU,HI-TEC,10,297,297,
1348,LME 30 UU,MYT,,500,500,
1349,LME 40 UU,HI-TEC,10,699,699,
1350,MB 02,HI-TEC,100,9,9,
1351,MB 04,HI-TEC,22,10,10,
1352,MB 05,HI-TEC,99,9.97,9.97,
1353,MB 07,HI-TEC,1,14,14,
1354,MB 09,HI-TEC,42,18,18,
1355,MB 10,HI-TEC,49,20.47,20.47,
1356,MB 11,CHINA,,85,85,
1357,MB 11,HI-TEC,-26,30.16,30.15,
1358,MB 12,HI-TEC,46,32,32,
1359,MB 13,HI-TEC,80,15,15,
1360,MB 14,HI-TEC,7,39,39,
1361,MB 15,HI-TEC,8,41,41,
1362,MB 16,HI-TEC,65,32,32,
1363,MB 17,HI-TEC,60,70.75,70.75,
1364,MB 18,HI-TEC,41,68.88,68.88,
1365,MB 19,HI-TEC,4,87,87,
1366,MB 20,HI-TEC,15,98,98,
1367,MB 21,HI-TEC,31,81.58,81.58,
1368,MB 22,HI-TEC,20,113,113,
1369,MB 24,CHINA,1,610,1034,
1370,N 204,SKF,1,4000,4000,
1371,N 205 M,HI-TEC,-5,314.44,314,
1372,N 206 M,HI-TEC,3,347.59,347.67,
1373,N 306,HI-TEC,48,298,298,
1374,N 310,JAPAN,6,2000,2000,
1375,NA 5906,WGD,2,650,650,
1376,NEEDLE,MUNAWER,,1246941,1246941,
1377,NF 214,KO,6,850,850,
1378,NJ 203 M,HI-TEC,49,224,224,
1379,NJ 204 ECP,HI-TEC,20,307,307,
1380,NJ 206 ECP,HI-TEC,1,405,405,
1381,NJ 209,HI-TEC,112,326.93,326.93,
1382,NJ 209 ECP,HI-TEC,4,654,654,
1383,NJ 210,HI-TEC,1,716,716,
1384,NJ 211,HI-TEC,25,449,449,
1385,NJ 211 ECP,HI-TEC,4,818,818,
1386,NJ 212,HI-TEC,1,958.6,959,
1387,NJ 212 ECP,HI-TEC,,1022,1022,
1388,NJ 2205 ECP,HI-TEC,5,470,470,
1389,NJ 2207,HI-TEC,3,478.25,478.33,
1390,NJ 2208,STEYR,2,,4000,
1391,NJ 2210 ECP,HI-TEC,1,859,859,
1392,NJ 2304,SKF,-1,,,
1393,NJ 245,CHINA,,170,170,
1394,NJ 306,HI-TEC,5,298,298,
1395,NJ 312,BKC,,2260,,
1396,NJ 312,END,,2200,2200,
1397,NJ 313,HI-TEC,46,1464.67,1464.65,
1398,NK 1212,CHINA,,90,90,
1399,NU 202 ECP,HI-TEC,13,266,266,
1400,NU 203 ECP,HI-TEC,10,286,286,
1401,NU 204 ECP,HI-TEC,,307,307,
1402,NU 204 M,HI-TEC,2,279,279,
1403,NU 205,HI-TEC,2,180,180,
1404,NU 208,URB,,1600,,
1405,NU 209 ECP,HI-TEC,4,654,654,
1406,NU 210 ECP,HI-TEC,2,716,716,
1407,NU 211 ECP,HI-TEC,4,818,818,
1408,NU 212 ECP,HI-TEC,1,1022,1022,
1409,NU 218,NSK,,10000,10000,
1410,NU 2308 EM,TMB,,6200,6200,
1411,NU 305,BSA,9,650,650,
1412,NU 305 M,HI-TEC,4,511,511,
1413,NU 306,BSA,2,700,700,
1414,NU 306,NTN,,4800,4800,
1415,NU 306 M,HI-TEC,6,613,613,
1416,NU 307,BSA,10,750,750,
1417,NU 307,HI-TEC,,371,371,
1418,NU 307,NACHI,,4800,4800,
1419,NU 310 M,HI-TEC,1,1431,1431,
1420,NUP 2206 ECP,NRB,4,1089,1089,
1421,NUTR 3072 UU,HI-TEC,,890,890,
1422,P 204,CMB,,300,300,
1423,P 204,HI-TEC,3981,370,370,
1424,P 204,HJC,545,200,200,
1425,P 204,INA,10,600,600,
1426,P 204,LOCAL,,250,250,
1427,P 205,HI-TEC,5088,384,384.07,425
1428,P 205,HJC,380,220,218.76,
1429,P 205,INA,102,700,700,
1430,P 205,SKTC,1,285,285,
1431,P 206,FKD,4,574,574,
1432,P 206,HI-TEC,2060,534,533.72,550
1433,P 206,HJC,1415,290,289.95,
1434,P 206,INA,186,800,800,
1435,P 206,LOCAL,,370,370,
1436,P 206,SKTC,6,300,300,
1437,P 207,CHINA,6,550,550,
1438,P 207,FKD,-1,623.5,624,
1439,P 207,HI-TEC,2466,641,640.76,
1440,P 207,HJC,250,400,400,
1441,P 207,LOCAL,-10,500,350,
1442,P 207,UIB,2,500,500,
1443,P 208,CHINA,11,650,648.64,
1444,P 208,HI-TEC,3605,805,805,820
1445,P 208,HJC,162,480,480,
1446,P 208,LOCAL,-4,550,550,
1447,P 209,FKD,66,852.56,852.56,
1448,P 209,HI-TEC,1976,847,847,880
1449,P 209,HJC,107,530,502.5,
1450,P 210,FK,,1800,1800,
1451,P 210,HI-TEC,2062,1083,903.59,"1,100"
1452,P 210,HJC,225,580,579.75,
1453,P 210,LOCAL,,700,685,
1454,P 210,SKTC,2,650,650,
1455,P 211,FK,,2150,2150,
1456,P 211,FKD,4,1355,1355,
1457,P 211,HI-TEC,765,1353,1353,"1,350"
1458,P 211,HJC,38,680,681.58,
1459,P 211,LOCAL,-10,900,900,
1460,P 211,NSK,17,2900,2829.71,
1461,P 211,SKTC,40,1100,1100,
1462,P 211,UIB,,1000,1000,
1463,P 212,CHINA,,1450,1450,
1464,P 212,FK,,3800,3800,
1465,P 212,FKD,,1800,1800,
1466,P 212,HI-TEC,433,1674,1674,
1467,P 212,LOCAL,,1100,1100,
1468,P 212,SKTC,1,1100,1100,
1469,P 213,HI-TEC,134,1923,1923,"2,050"
1470,P 213,LOCAL,,1500,1500,
1471,P 213,OJM,1,1759,1759,
1472,P 213,SKTC,14,1600,1600,
1473,P 214,HI-TEC,164,2315,2297.68,"2,400"
1474,P 214,LOCAL,24,1650,1645.83,
1475,P 214 N,HI-TEC,184,1567,1567,
1476,P 215,FK,,5100,5100,
1477,P 215,HI-TEC,87,2436,2436,"2,700"
1478,P 215,LOCAL,,1800,1800,
1479,P 216,HI-TEC,49,2956,2956,"3,500"
1480,P 216,SKTC,31,2200,2200,
1481,P 217,HI-TEC,16,3533,3533,"4,200"
1482,P 217,SKTC,1,2300,2300,
1483,P 218,HI-TEC,41,4345,4345,"4,800"
1484,P 311,LOCAL,,3000,3000,
1485,P 312,NSK,7,4500,4500,
1486,P 316,HI-TEC,,4600,4600,
1487,P 320,ASAHI,,22000,20500,
1488,PA 204,HI-TEC,11,189,189,
1489,PA 205,HI-TEC,1,220,220,
1490,PA 208,CHINA,,1050,1050,
1491,PH 205,FKD,,775,775,
1492,PHS 10 L,HI-TEC,100,195,195,410
1493,PHS 10 R,HI-TEC,116,195,195,410
1494,PHS 12 L,HI-TEC,96,233,233,450
1495,PHS 12 R,HI-TEC,132,233,233,450
1496,PHS 14 L,HI-TEC,30,297,297,700
1497,PHS 14 R,HI-TEC,35,297,297,700
1498,PHS 16 L,HI-TEC,,381,381,860
1499,PHS 16 R,HI-TEC,35,381,381,860
1500,PHS 18 L,HI-TEC,20,551,551,980
1501,PHS 18 R,HI-TEC,50,551,551,980
1502,PHS 20 L,HI-TEC,,636,636,"1,170"
1503,PHS 20 R,HI-TEC,,636,636,"1,170"
1504,PHS 5 L,HI-TEC,30,148,148,275
1505,PHS 5 R,HI-TEC,50,148,148,275
1506,PHS 6 L,HI-TEC,50,148,148,290
1507,PHS 6 R,HI-TEC,,148,148,290
1508,PHS 8 L,HI-TEC,80,170,170,380
1509,PHS 8 R,HI-TEC,190,170,170,380
1510,POS 10 L,HI-TEC,40,195,195,490
1511,POS 10 R,HI-TEC,150,195,195,490
1512,POS 12 L,HI-TEC,40,254,254,525
1513,POS 12 R,HI-TEC,90,254,254,525
1514,POS 14 L,HI-TEC,20,297,297,825
1515,POS 14 R,HI-TEC,20,297,297,825
1516,POS 16 L,HI-TEC,10,381,381,975
1517,POS 16 R,HI-TEC,10,381,381,975
1518,POS 18 L,HI-TEC,20,551,551,"1,175"
1519,POS 18 R,HI-TEC,17,551,551,"1,175"
1520,POS 20 L,HI-TEC,20,721,721,"1,310"
1521,POS 20 R,HI-TEC,19,721,721,"1,310"
1522,POS 5 L,HI-TEC,20,191,191,375
1523,POS 5 R,HI-TEC,50,191,191,375
1524,POS 6 L,HI-TEC,10,148,148,425
1525,POS 6 R,HI-TEC,30,148,148,425
1526,POS 8 L,HI-TEC,50,170,170,450
1527,POS 8 R,HI-TEC,150,170,170,450
1528,QJ 306 MA,CSC,,800,800,
1529,QJ 307,CSC,6,900,900,
1530,QJ 308,CSC,,400,400,
1531,QJ 309,CSC,10,1700,1700,
1532,RLS 10,SKF,,1000,1000,
1533,RLS 11,CHINA,,1100,1100,
1534,RLS 12,CHINA,,1300,1300,
1535,RLS 12,SKF,,1600,1600,
1536,RLS 4 2RS,HI-TEC,274,146,146,
1537,RLS 5,CHINA,,380,380,
1538,RLS 8 2RS,HI-TEC,1,291,291,
1539,RLS 8 ZZ,CHINA,,600,600,
1540,RLS 9,CHINA,,800,800,
1541,RN 309,CHINA,,2500,2500,
1542,SA 205 2RS,HI-TEC,296,199,199,
1543,SA 205-16,FKD,,650,650,
1544,SA 206 2RS,HI-TEC,64,268,268,
1545,SA 207 2RS,HI-TEC,258,854,854,
1546,SB 207,FK,2,700,700,
1547,SN 506,LOCAL,,700,700,
1548,SN 511,LOCAL,,1000,1000,
1549,SN 512,LOCAL,1,1000,1000,
1550,SN 513,LOCAL,,2000,2000,
1551,SN 515,LOCAL,,2000,2000,
1552,SN 520,LOCAL,-1,,,
1553,SNL 512,HEAVY,,2400,2400,
1554,SNL 516,HEAVY,,3800,3800,
1555,T 204,FAG,83,600,600,
1556,T 205,FAG,24,700,700,
1557,T 206,CHINA,,700,700,
1558,T 206,FK,1,295,295,
1559,T 206,FKD,,700,700,
1560,T 206,HJC,-6,,,
1561,T 207,HJC,8,460,460,
1562,T 207,LOCAL,,850,850,
1563,T 208,HJC,,740,740,
1564,T 209,HI-TEC,38,516,516,
1565,T 209,HJC,-11,780,780,
1566,T 210,CHINA,-4,,,
1567,T 210,HJC,-4,850,850,
1568,T 210,UIB,,1250,1250,
1569,T 211,FAG,14,1500,1500,
1570,T 212,CHINA,-6,2600,2600,
1571,T2 EE 060,BSL,48,862,862,
1572,T2 EE 100,BSL,7,1565,1565,
1573,UBT 15 Z,CHINA,,95,95,
1574,UC 201,CHINA,,500,500,
1575,UC 201,FKD,,550,550,
1576,UC 202,HI-TEC,562,230,230,
1577,UC 204,CHINA,-25,150,150,
1578,UC 204,HI-TEC,2511,195,193.51,
1579,UC 204-12,CHINA,,225,225,
1580,UC 204-12,HI-TEC,557,201,200.88,
1581,UC 205,ASAHI,,1150,1150,
1582,UC 205,CHINA,10,228.2,228.2,
1583,UC 205,FAG,,2100,2100,
1584,UC 205,HI-TEC,1363,207,206.74,
1585,UC 205-14,CHINA,,400,400,
1586,UC 205-16,CHINA,6,234,234,
1587,UC 205-16,HI-TEC,1827,213,212.99,
1588,UC 206,HI-TEC,350,305,287.42,
1589,UC 206,K&B,2,193.5,193.5,
1590,UC 206-18,HI-TEC,280,334,334,
1591,UC 206-20,HI-TEC,200,334,334,
1592,UC 207,HI-TEC,2407,312.36,312.36,
1593,UC 207-20,CHINA,3,500,500,
1594,UC 207-20,HI-TEC,2779,466,466,
1595,UC 208,HI-TEC,2365,379.05,379.05,
1596,UC 208-24,HI-TEC,479,400.39,400.38,
1597,UC 208-24,TR,151,525,525,
1598,UC 208-24,WGD,25,560,560,
1599,UC 209,HI-TEC,1930,441.42,441.42,
1600,UC 209-28,HI-TEC,638,459.55,459.55,
1601,UC 210,CHINA,,860,860,
1602,UC 210,HI-TEC,-1,509.94,510,
1603,UC 210,OJM,10,725,725,
1604,UC 210,QAZ,56,850,850,
1605,UC 210,UIB,,850,850,
1606,UC 210-30,HI-TEC,67,748,741.87,
1607,UC 210-32,CBS,,960,960,
1608,UC 210-32,CHINA,38,840,840,
1609,UC 210-32,OJM,,950,,
1610,UC 211,ATN,699,1000,1006.87,
1611,UC 211,FAG,,5000,5000,
1612,UC 211,HI-TEC,5,676.95,676.8,
1613,UC 211,NTN,27,4900,4900,
1614,UC 211-32,HI-TEC,724,735.76,735.76,
1615,UC 211-32,WGD,5,930,930,
1616,UC 211-35,FAG,1,600,600,
1617,UC 212,ATN,-1,1300,1300,
1618,UC 212,CHINA,,1300,1300,
1619,UC 212,HI-TEC,-10,909.34,909,
1620,UC 212,QAZ,31,1450,1450,
1621,UC 212,WYP,3,1570,1570,
1622,UC 212-36,CHINA,14,1575,1588.5,
1623,UC 212-36,HI-TEC,-4,1426,1426,
1624,UC 213,HI-TEC,959,1141.71,1141.71,
1625,UC 213-40,HI-TEC,194,1215.76,1215.74,
1626,UC 213-40,UIB,8,1405.75,1405.75,
1627,UC 214,HI-TEC,5,1053.43,1053.4,
1628,UC 214,NSK,,14500,14500,
1629,UC 214,NTN,,14500,,
1630,UC 214-44,HI-TEC,262,1869,1652.23,
1631,UC 215,HITEC,316,2070,2070,
1632,UC 215,OJM,,2400,2400,
1633,UC 215-48,HI-TEC,91,2128,2128,
1634,UC 216,HI-TEC,68,2703,2703,
1635,UC 217,BG,2,3300,3300,
1636,UC 217,HI-TEC,101,3163,3163,
1637,UC 218,BG,,4000,4000,
1638,UC 218,HI-TEC,73,3738,3738,
1639,UC 220,HI-TEC,488,6613,6613,
1640,UC 306,HI-TEC,100,546,546,
1641,UC 307,FK,,2150,2150,
1642,UC 307,HI-TEC,138,690,690,
1643,UC 309,HI-TEC,,715,715,
1644,UC 310,CHINA,,1600,1600,
1645,UC 310,HI-TEC,,1208,1188.88,
1646,UC 311,HI-TEC,,1002,1002,
1647,UC 312,HI-TEC,,1430.79,1430.67,
1648,UC 314,HI-TEC,20,2990,2921.45,
1649,UC 320,HI-TEC,2,6289.14,6289,
1650,UCF 209,TR,157,1175,1175,
1651,UEL 208,HI-TEC,20,748,748,
1652,UK 206,HI-TEC,6,214,214,
1653,UK 208,HI-TEC,75,575,575,
1654,UK 209,HI-TEC,32,633,500.47,"6,330"
1655,UK 210,HI-TEC,100,748,748,
1656,UK 211,CHINA,43,850,850,
1657,UK 211,HI-TEC,37,978,943.46,
1658,UK 212,CHINA,29,1200,1200,
1659,UK 212,HI-TEC,40,1265,1265,
1660,UK 213,HI-TEC,30,1725,1329,
1661,UK 215,HI-TEC,8,2300,2300,
1662,UK 308,HI-TEC,10,920,920,
